area;ciudad;conglomerado;vivienda;hogar;persona;s1p3;s2p1;s2p2a;s2p2b;s2p3;s2p41;s2p42;s2p43;s2p44;s2p45;s2p5;s2p6;s2p7a;s2p7b;s2p8;s2p9;s2p10a;s2p10b;s6p1a;s6p1b;s6p2;s6p3;s6p4;s6p4a;s6p4b;s6p4c;s6p4d;s7p1a;s7p1b;s7p1a1;s7p1b1;s7p1b2;s7p1b3;s7p1b4;s7p1b5;s7p1b6;s7p2;s7p211;s7p212;s7p213;s7p214;s7p3;s7p4;s7p5;s7p6;s7p71;s7p72;s7p73;s7p74;s7p75;s7p76;s7p77;s7p78;s7p79;upm;estrato;fexp;id_hogar;id_per
1;10150; 10150001903;11;1;3;16;1;6;2;1;1;1;1;1;2;2;2;2; ; ; ; ; ;1;2;1;3;1;1;30;0;0;1;1;1;1;1;1;1;1;1;1;5;2;8;13;1;1;5;1;1;1;1;1;1;1;1;1;2;010150001903;2713;1439,72581126081;010150001903111;01015000190311103
1;10150; 10150001903;13;1;1;43;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;5;7;2; ; ; ; ;1;1;1;1;88;1;1;1;2;1;3;2;10;13;1;1;3;2; ; ; ; ; ; ; ; ; ;010150001903;2713;1439,72581126081;010150001903131;01015000190313101
1;10150; 10150001903;13;1;2;56;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;5;4;2; ; ; ; ;1;1;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150001903;2713;1406,62143819865;010150001903131;01015000190313102
1;10150; 10150001903;13;1;3;18;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;5;7;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;2;5;13;13;1;1;6;2; ; ; ; ; ; ; ; ; ;010150001903;2713;1439,72581126081;010150001903131;01015000190313103
1;10150; 10150004403;1;1;1;33;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;1;0;0;3;0;1;1;1;1;1;1;1;1;2;1;2;10;13;13;2;1;2;1;1;1;1;2;2;2;2;2;2;010150004403;2713;2297,48168239113;010150004403011;01015000440301101
1;10150; 10150004403;1;1;2;14;1;6;1;1;1;1;1;1;1;3;3;2; ;2;2;2; ;1;2;99; ;1;0;0;3;0;2; ; ; ; ; ; ; ; ;1;2;5;9;7;1;1;2;2; ; ; ; ; ; ; ; ; ;010150004403;2713;2970,57809089954;010150004403011;01015000440301102
1;10150; 10150004403;1;1;3;9;1;4;5;1;1;1;1;1;1;3;3;2; ;2;2;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;1;1;2;5;7;1;1;4;2; ; ; ; ; ; ; ; ; ;010150004403;2713;3222,03415839272;010150004403011;01015000440301103
1;10150; 10150004403;5;1;1;53;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;1;1;5;0;2;0;1;1;1;1;1;1;1;1;2;1;1;2;4;10;2;1;3;1;1;1;1;1;1;1;2;1;2;010150004403;2713;2351,55215839265;010150004403051;01015000440305101
1;10150; 10150004403;5;1;2;51;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2;1;1;5;0;0;0;1;1;1;1;1;1;1;1;2;1;1;2;3;13;1;1;1;1;1;1;1;1;2;2;2;1;2;010150004403;2713;2297,48168239113;010150004403051;01015000440305102
1;10150; 10150004403;5;1;3;20;1;8;3; ; ; ; ; ; ;3;3;2; ; ; ; ; ;1;2;3;2;1;3;0;2;0;1;1;1;1;1;1;1;1;1;1;2;5;7;9;1;1;7;1;1;1;1;1;1;2;1;1;2;010150004403;2713;2351,55215839265;010150004403051;01015000440305103
1;10150; 10150004403;7;1;1;48;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;4;3;2; ; ; ; ;1;1;1;2;2;2;2;2;2;1;1;5;13;13;1;2;1;1;2;2;2;2;2;2;2;2;2;010150004403;2713;2351,55215839265;010150004403071;01015000440307101
1;10150; 10150004403;7;1;2;44;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;2;1;2;2;2;1;1;2;13;13;1;3;1;2; ; ; ; ; ; ; ; ; ;010150004403;2713;2297,48168239113;010150004403071;01015000440307102
1;10150; 10150004403;7;1;3;20;1;8;2; ; ; ; ; ; ;1;1;2; ; ; ; ; ;1;2;3;6;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;2;5;7;1;1;6;1;1;1;1;1;2;1;1;1;2;010150004403;2713;2351,55215839265;010150004403071;01015000440307103
1;10150; 10150004403;7;1;4;7;1;4;3;1;1;1;1;2;1;1;1;1;2;1;2;1;3; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;1;5;13;13;13;1;1;3;1; ; ; ; ; ; ; ; ; ;010150004403;2713;2970,57809089954;010150004403071;01015000440307104
1;10150; 10150004403;9;1;1;59;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ; ; ; ;1;1;1;1;1;1;1;2;2;1;7;2;1;13;1;1;5;2; ; ; ; ; ; ; ; ; ;010150004403;2713;2351,55215839265;010150004403091;01015000440309101
1;10150; 10150004403;9;1;2;56;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ; ; ; ;1;1;1;1;1;1;1;1;2;1;1;2;13;13;1;1;4;2; ; ; ; ; ; ; ; ; ;010150004403;2713;2297,48168239113;010150004403091;01015000440309102
1;10150; 10150004403;9;1;3;31;1;9;1; ; ; ; ; ; ;3;3;2; ; ; ; ; ;2; ;2;3;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;5;10;1;7;2;1;12;1;1;1;1;1;1;1;1;1;1;010150004403;2713;2297,48168239113;010150004403091;01015000440309103
1;10150; 10150004403;9;1;4;21;1;8;4; ; ; ; ; ; ;1;1;2; ; ; ; ; ;2; ;1;3;1;6;0;0;0;1;1;1;1;1;1;1;1;1;1;8;5;1;2;1;1;10;1;1;1;1;1;1;1;1;1;1;010150004403;2713;2297,48168239113;010150004403091;01015000440309104
1;10150; 10150004403;9;1;5;21;1;8;4; ; ; ; ; ; ;1;1;2; ; ; ; ; ;2; ;1;3;1;6;0;0;0;1;1;1;1;1;1;1;1;1;1;5;2;7;8;1;1;12;1;1;1;1;1;1;1;1;1;2;010150004403;2713;2297,48168239113;010150004403091;01015000440309105
1;10150; 10150004403;9;1;6;8;1;4;4;1;1;1;1;1;1;3;3;2; ;2;2;1;1; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;1;5;7;13;13;1;1;4;1; ; ; ; ; ; ; ; ; ;010150004403;2713;2970,57809089954;010150004403091;01015000440309106
1;10150; 10150004403;11;1;1;71;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ; ; ; ;1;1;1;1;1;2;1;1;2;1;2;13;13;13;1;1;1;2; ; ; ; ; ; ; ; ; ;010150004403;2713;2351,55215839265;010150004403111;01015000440311101
1;10150; 10150004403;11;1;2;70;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150004403;2713;2297,48168239113;010150004403111;01015000440311102
1;10150; 10150013201;1;1;1;60;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;4;5;1;3;0;3;0;1;1;1;1;1;1;1;2;1;1;2;13;13;13;1;1;5;2; ; ; ; ; ; ; ; ; ;010150013201;2712;1083,49637080676;010150013201011;01015001320101101
1;10150; 10150013201;1;1;2;29;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;6;1;4;0;5;0;1;1;1;1;1;1;2;1;2;1;2;7;5;10;2;1;6;1;1;1;1;2;2;2;2;2;2;010150013201;2712;1083,49637080676;010150013201011;01015001320101102
1;10150; 10150013201;1;1;3;27;1;8;3; ; ; ; ; ; ;3;3;2; ; ; ; ; ;1;4;5;3;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;2;5;4;9;1;1;7;2; ; ; ; ; ; ; ; ; ;010150013201;2712;1058,58296869218;010150013201011;01015001320101103
1;10150; 10150013201;1;1;4;22;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;4;6;1;8;0;5;0;1;1;1;1;2;1;1;1;1;1;2;7;8;9;1;1;3;2; ; ; ; ; ; ; ; ; ;010150013201;2712;1083,49637080676;010150013201011;01015001320101104
1;10150; 10150013201;1;1;5;22;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;4;6;1;8;0;2;0;1;1;1;1;1;1;1;1;1;1;2;7;13;13;1;1;5;2; ; ; ; ; ; ; ; ; ;010150013201;2712;1083,49637080676;010150013201011;01015001320101105
1;10150; 10150013201;3;1;1;28;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;2;4;9;10;1;1;5;2; ; ; ; ; ; ; ; ; ;010150013201;2712;1083,49637080676;010150013201031;01015001320103101
